Category,Business,Information,Address 1,Address 2,City,State,Country,Postcode,Landline,Mobile,Fax,Website
18,Naivedhyam Restaurant,,"Plot No 198-200,SH 255, Near Jhansi Rani Square,",Sitabuldi,819,20,1,,,9326881013,,
18,Fountain Sizzlers & Bistro,,Orange city tower,"Dhantoli,",819,20,1,,,,,
18,That Baat,,"Abhyankar Road, Variety Square",Sitabuldi,819,20,1,440012,0712-32512606,,,http://www.haldirams.com
3,Seva Automotive Private Limited,,"34/3, Kachimet Amravati Road",Wadi,819,20,1,440001,0712-2500021,"9881741003, 9881748026",0712-2500024,
3,Jaika Motors Ltd,,"P. B No. 1, Commercial Road - 1",Civil Lines,819,20,1,,0712-3911146,,,
3,Ketan Hyundai,,"35/1, Kachi Met, 7th K M Stone, Amravati Road,",Ram Nagar,819,20,1,,0712-2500044,,,
3,Wheelocity Motors,,Ganeshpeth colony,sitabuldi,819,20,1,,0712-2020200,,,
3,Shri Krishna Tours and Travels,,Kukreja nagar,Jaripatka,819,20,1,,0712-3248001,,,
5,Karmavir Dadasaheb Kannamwar College of Engineering,"The college runs under graduate and postgraduate 
courses i.e two courses with six branches of Engineering and three PG 
programs in Mechanical Engineering ,Civil Engineering and Master of 
Business Administration.",Great Nag Road ,Nandanvan,819,20,1,440009,"0712-2711400, 0712-2710030, 0712-2713658",,"0712-2712538, 0712-2711870",http://www.kdkce.edu.in
5,Bhavan's Bhagwandas Purohit Vidya Mandir,"The Vidya Mandir was established in 1995, to cater to the needs of Eastern Nagpur population. It has classes from Nursery to Std. XII and is affliated to CBSE, New Delhi.","NEAR K.D.K. ENGINEERING COLLEGE, 
Sri Krishna Nagar
 ",Wathoda,819,20,1,,0712-2023339,,0712-2714071,http://www.bvmskn.org
5,Shri Rajendra High School & Junior College,"The school run Higher English, Marathi, and Lower English Medium.The school has about 4 thousand strength.","Kothi Road, Mangalwari",Mahal,819,20,1,,"0712-2722701, 0712-2738872,
0712-2041121",,,http://shrirajendrahighschool.com
5,Adarsh Vidya Mandir,This is a co-ed school for secondary level students.,"1205, Near Hotel India Son
",CA Road,819,20,1,440032,"0712-2770512, 0712-2764310",,,
5,"Kidzee,Play  Schools & Day Care,Montessori and Kindergarten",,,,819,20,1,, 0712-2571999,,,http://www.kidzee.com
5,Prerna Public School,"Prerna Public School is one of the CBSE board school in Nagpur. The teaching envirnment here is very much spritual an inspiring, Currently it is Nursery to Xth Standard.","Vihirgaon     
            
                 ",Umrer Road,819,20,1,441204,07103-203116,9822752570,,http://www.ppsngp.org
5,Anjuman College of Engineering & Technology,"Anjuman College of Engineering And Technology is: Affiliated To Rashtrasant Tukdoji Maharaj Nagpur University Approved By Directorate Of Technical Education, Maharashtra  Approved By A.I.C.T.E. New Delhi", Mangalwari Bazaar Road,Sadar,819,20,1,440001,0712-2582749,,,http://www.anjumanengg.edu.in
5,Priyadarshini College of Engineering,"The Priyadarshini College  of  Engineering, Nagpur, established  in 1990
 is one of the leading engineering colleges in Maharashtra State. 
Government  of Maharashtra has conferred “A” grade on the basis of  
excellent & adequate infrastructure as well as academic achievements
 of students and faculty.","Near CRPF campus, Digdoh Hils ",Hingna Road,819,20,1,440019,07104-236179,,,http://www.pce.ltjss.net
